Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/static,150,939,774,1414,1801,2592,401,3853,0.000%,32.75109,23.03,5.21
/index.js,150,13520,7719,28152,42707,86409,1237,193590,2.000%,.76595,118.66,0.12
/index.css,150,29145,18121,64661,74195,186137,1894,189716,4.667%,.76341,139.15,0.12
/image3.jpg,150,27289,25879,49875,52955,83698,1898,90905,0.667%,.77414,259.67,0.13
/image2.jpg,150,2986,2310,5111,6713,17782,401,33040,0.000%,.82778,54.01,0.13
/image1.jpg,150,2866,1761,6653,7797,11767,397,14190,0.000%,.84463,59.72,0.14
TOTAL,900,12791,4404,36049,50539,83698,397,193590,1.222%,4.47763,603.95,0.72
