Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Create User,300,6548,6435,12023,12556,13039,630,13354,0.000%,21.05115,5.10,8.59
Create Magazine,300,7888,7017,14734,14986,15512,221,16447,0.000%,11.76517,2.91,4.11
Create Subscription,300,3213,2178,7743,8032,8676,201,8868,0.333%,13.38091,3.36,5.81
"Get Subscriptions ""/""",300,767,567,1368,2972,4050,198,5950,0.000%,13.74319,9.66,2.11
"Get Subscriptions ""/index.css""",300,29830,25276,62208,68567,82942,2005,184736,7.333%,1.57092,278.38,0.24
"Get Subscriptions ""/index.js""",300,14614,12863,26004,34583,62266,1566,74376,0.667%,1.58463,248.80,0.25
"Get Subscriptions ""/subscriptions""",300,4610,3700,9609,11836,13944,619,20756,0.000%,1.64195,139.27,0.27
TOTAL,2100,9638,5325,22717,36026,67567,198,184736,1.190%,10.53868,633.05,2.74
