Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Create User,50,8664,8542,11755,11864,12148,5781,12148,0.000%,3.84971,0.93,1.57
Create Magazine,50,2514,1458,6642,7114,7728,215,7728,0.000%,4.66592,1.15,1.63
Create Subscription,50,1091,552,2762,3868,4110,204,4110,0.000%,5.47765,1.37,2.38
"Get Subscriptions ""/""",50,635,426,1313,1573,2541,199,2541,0.000%,5.29157,3.72,0.81
"Get Subscriptions ""/index.css""",50,25855,19792,42468,52608,182322,3253,182322,4.000%,.27267,50.05,0.04
"Get Subscriptions ""/index.js""",50,13323,10990,21462,31645,60647,1440,60647,0.000%,.28345,44.80,0.05
"Get Subscriptions ""/subscriptions""",50,4265,3671,7488,7915,12117,703,12117,0.000%,.29469,18.48,0.05
TOTAL,350,8050,4561,18441,31488,60647,199,182322,0.571%,1.79743,104.18,0.47
