Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/static,300,2796,3253,4585,5520,6024,413,6146,0.000%,43.88531,30.86,6.99
/index.js,300,29482,18574,81883,87567,95384,1773,189893,13.000%,1.57857,217.33,0.22
/index.css,300,21335,14249,42195,63691,183671,232,187687,4.000%,1.57705,289.45,0.25
/image3.jpg,300,15357,15090,26726,30471,42029,1378,66066,0.667%,1.60994,540.03,0.26
/image2.jpg,300,2350,1949,4753,5690,7569,394,16595,0.000%,1.77101,115.56,0.29
/image1.jpg,300,2255,1956,4580,5251,6614,394,8698,0.000%,1.80918,127.93,0.30
TOTAL,1800,12262,4220,27979,49594,88530,232,189893,2.944%,9.19958,1216.36,1.45
