Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/static,150,7380,8947,10332,10458,11394,445,12178,0.000%,11.38606,8.01,1.81
/index.js,150,9379,8417,19776,21415,44889,244,50845,18.667%,2.44006,313.80,0.39
/index.css,150,10868,9973,18032,21697,26861,407,32730,8.000%,2.64117,464.48,0.43
/image3.jpg,150,16593,15842,25044,27711,33333,421,40088,1.333%,2.56766,855.48,0.42
/image2.jpg,150,3013,2671,5558,6026,8246,407,10473,0.000%,2.56678,167.48,0.42
/image1.jpg,150,2791,2568,4838,5986,10891,405,11786,0.000%,2.66980,188.78,0.44
TOTAL,900,8337,7511,18377,21512,30418,244,50845,4.667%,13.27120,1712.66,2.15
