Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Create User,50,16973,15733,19668,19678,20307,13764,20307,0.000%,2.42660,0.59,0.99
Create Magazine,50,2999,1528,6858,7380,7558,263,7558,0.000%,3.83142,0.95,1.34
Create Subscription,50,2092,1336,4497,5016,5091,249,5091,0.000%,3.33600,0.84,1.45
"Get Subscriptions ""/""",50,1222,934,2620,2907,3230,203,3230,0.000%,3.41600,2.40,0.52
"Get Subscriptions ""/index.css""",50,10277,9506,15683,16446,29031,3281,29031,0.000%,1.24465,237.89,0.20
"Get Subscriptions ""/index.js""",50,8220,8099,12163,12519,16955,1489,16955,0.000%,1.39595,220.64,0.22
"Get Subscriptions ""/subscriptions""",50,4903,5043,6797,7985,8797,955,8797,0.000%,1.59342,158.93,0.26
TOTAL,350,6670,5091,15631,19476,19752,203,29031,0.000%,5.99141,385.48,1.57
