Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
batch,300,2929,2470,5958,6688,7556,404,7876,0.000%,34.21923,8.25,5.41
TOTAL,300,2929,2470,5958,6688,7556,404,7876,0.000%,34.21923,8.25,5.41
