Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Create User,150,20563,18195,28593,29725,30922,14422,30939,0.000%,4.71046,1.14,1.92
Create Magazine,150,13236,12160,25806,26511,27162,247,27638,0.000%,3.60881,0.89,1.26
Create Subscription,150,4583,2794,11670,13044,14098,220,15824,0.000%,4.00064,1.00,1.74
"Get Subscriptions ""/""",150,1375,1357,2610,2814,3577,198,3770,0.667%,4.29025,3.00,0.66
"Get Subscriptions ""/index.css""",150,2561,2569,3820,4039,4671,414,5355,0.667%,4.19182,795.85,0.68
"Get Subscriptions ""/index.js""",150,2154,2089,3654,4095,5106,785,5234,0.000%,4.18877,662.06,0.67
"Get Subscriptions ""/subscriptions""",150,1957,1199,5574,6643,8075,214,8171,0.667%,4.23717,133.72,0.70
TOTAL,1050,6633,2684,21249,25443,29166,198,30939,0.286%,16.61892,904.33,4.36
