Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/static,50,6599,6818,10043,10093,10271,422,10271,0.000%,4.54504,3.20,0.72
/index.js,50,4671,3674,9337,9602,10614,365,10614,14.000%,2.74318,372.98,0.44
/index.css,50,3777,4048,5724,5960,6347,219,6347,10.000%,3.12559,537.74,0.51
/image3.jpg,50,5006,4984,7049,7815,8604,1641,8604,0.000%,2.66042,898.36,0.43
/image2.jpg,50,1982,1880,3011,3588,4571,417,4571,2.000%,3.05848,195.59,0.50
/image1.jpg,50,1851,1707,2531,2871,4142,430,4142,0.000%,3.24128,229.19,0.53
TOTAL,300,3981,3289,7950,9857,10271,219,10614,4.333%,9.89805,1288.48,1.60
