Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Create User,150,4787,4053,10963,11059,11516,473,11859,0.000%,11.75456,2.85,4.80
Create Magazine,150,3240,2445,9314,9747,10326,211,10449,0.000%,10.25220,2.53,3.58
Create Subscription,150,1362,353,4974,5012,5152,203,5516,0.000%,12.54181,3.15,5.45
"Get Subscriptions ""/""",150,465,232,969,1273,1865,198,2075,0.000%,12.43575,8.74,1.91
"Get Subscriptions ""/index.css""",150,40740,33451,75107,124069,186331,2053,186733,9.333%,.78404,135.97,0.12
"Get Subscriptions ""/index.js""",150,12867,11367,23070,31174,44040,1376,63630,0.667%,.79456,124.75,0.13
"Get Subscriptions ""/subscriptions""",150,2949,2367,5337,7244,13097,448,17805,0.000%,.83215,35.80,0.14
TOTAL,1050,9487,3085,22487,43934,119140,198,186733,1.429%,5.30542,284.14,1.38
