Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
batch,50,823,723,1351,1378,1948,402,1948,0.000%,18.20167,4.39,2.88
TOTAL,50,823,723,1351,1378,1948,402,1948,0.000%,18.20167,4.39,2.88
