Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/static,300,1302,995,2562,2865,3820,397,4217,0.000%,61.16208,43.00,9.74
/index.js,300,54111,34693,148116,200097,205823,1469,209880,19.667%,1.42720,181.60,0.18
/index.css,300,17327,13521,33469,46568,75100,1564,120906,1.667%,1.42640,268.12,0.23
/image3.jpg,300,16998,17321,29505,32346,38961,1563,58808,0.000%,1.46014,493.05,0.24
/image2.jpg,300,2911,2406,6005,7196,9527,394,12043,0.000%,1.63132,106.45,0.27
/image1.jpg,300,2802,2380,5656,6792,9254,394,17030,0.000%,1.65369,116.93,0.27
TOTAL,1800,15908,4471,36914,65122,196872,394,209880,3.556%,8.38231,1103.04,1.31
