Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Create User,300,13295,13153,17439,17742,18045,6772,18072,0.000%,15.85121,3.84,6.47
Create Magazine,300,13319,12875,19125,19341,19903,7243,20021,0.000%,9.37822,2.32,3.28
Create Subscription,300,6236,6976,11189,11864,12475,235,12929,1.000%,11.45344,2.88,4.98
"Get Subscriptions ""/""",300,1106,1004,1970,2138,2755,197,4412,0.000%,12.98814,9.13,1.99
"Get Subscriptions ""/index.css""",300,15515,14107,30325,35926,41349,215,69045,0.333%,3.87993,739.11,0.63
"Get Subscriptions ""/index.js""",300,9677,8940,18066,21429,28746,1584,33751,0.000%,3.90762,617.62,0.63
"Get Subscriptions ""/subscriptions""",300,4345,3381,8344,10215,18166,416,21287,1.333%,3.94789,315.22,0.66
TOTAL,2100,9070,8320,18045,20695,32347,197,69045,0.381%,20.33820,1248.88,5.33
